ISIC4,Activity
4652,عمده فروشي تجهيزات و قطعات الكترونيكي و مخابراتي
4653,عمده فروشي ماشين‌آلات، تجهيزات و ملزومات كشاورزي
4659,عمده‌فروشی ساير ماشين‌آلات و تجهيزات
4661,عمده‌فروشی سوخت‌های جامد، مایع و گاز و محصولات مربوط
4662,عمده فروشي فلزات و كانه‌هاي فلزي
4663,عمده فروشي مصالح ساختمانی، یراق آلات، تجهیزات و ملزومات لوله کشی و گرمایشي ساختمان
4669,عمده‌فروشی پسماند و نخاله و ساير محصولات طبقه‌بندی نشده در جای ديگر
4690,عمده فروشي غير تخصصي
4711,خرده‌فروشي در فروشگاه‌هاي غيرتخصصي با برتري  فروش مواد غذايي و دخانيات
4719,ساير خرده‌فروشي‌ها در فروشگاه‌هاي غير تخصصي
4721,خرده فروشي مواد غذايي در فروشگاه هاي تخصصي
4722,خرده فروشي آشاميدني‌ها در فروشگاه‌هاي تخصصي
4723,خرده‌فروشی محصولات دخانی در فروشگاه‌های تخصصی
4730,خرده فروشي سوخت خودرو در فروشگاه‌هاي تخصصي
4741,خرده‌فروشی رايانه،وسايل جانبی،نرم‌افزارو تجهيزات مخابراتي در فروشگاه‌های تخصصی
4742,خرده‌فروشی تجهيزات صوتی و تصويری در فروشگاه‌های تخصصی
4751,خرده‌فروشی منسوجات در فروشگاه‌های تخصصی
4752,خرده فروشي يراق آلات، رنگ و شيشه در فروشگاه‌هاي تخصصي
4753,خرده فروشي قالي، قاليچه، پوشش كف و ديوار در فروشگاه‌هاي تخصصي
4759,خرده‌فروشی وسايل خانگی برقی، مبلمان، تجهيزات روشنايي و ساير کالاهای خانگی در فروشگاه‌های تخصصی
4761,خرده فروشي كتاب، روزنامه و نوشت افزار در فروشگاه‌هاي تخصصي
4762,خرده فروشي موسيقي و تصويرهاي ضبط شده در فروشگاه‌هاي تخصصي
4763,خرده فروشي تجهيزات ورزشي در فروشگاه‌هاي تخصصي
4764,خرده فروشي وسايل بازي و اسباب بازي در فروشگاه‌هاي تخصصي
4771,خرده‌فروشي پوشاك، پاپوش و كالاهاي چرمي در فروشگاه‌هاي تخصصي
4772,خرده‌فروشي كالاهاي دارويي و پزشكي، آرايشي و بهداشتي در فروشگاه‌هاي تخصصي
4773,ساير خرده‌فروشي‌هاي كالاهاي نو در فروشگاه‌هاي تخصصي
4774,خرده فروشي كالاهاي دست دوم
4781,خرده‌فروشي مواد غذايي، آشامیدنی و محصولات دخاني در دكه‌ها و بازارها
4782,خرده فروشي منسوجات، پوشاك و پاپوش در دكه‌ها و بازارها
4789,خرده فروشي ساير كالاها در دكه‌ها و بازارها
4791,خرده فروشي از طريق موسسات  قبول سفارش پستي يا اينترنت
4799,ساير خرده‌فروشي‌هاي  بيرون از فروشگاه‌ها، دكه‌ها و بازارها
4911,حمل و نقل ريلی مسافر- بين شهری
4912,حمل و نقل ريلی بار
4921,حمل و نقل زمينی مسافر درون شهری و حومه شهر
4922,ساير حمل ونقل زمينی مسافر
4923,حمل و نقل بار ازطريق جاده
4930,حمل ونقل از طريق خط لوله
5011,حمل ونقل دريایی و آب های ساحلی مسافر
5012,حمل ونقل دريایی و آب های ساحلی بار
5021,حمل ونقل آبی داخلی مسافر
5022,حمل ونقل آبی داخلی بار
5110,حمل ونقل هوايی مسافر
5120,حمل ونقل هوايی بار
5210,انبارداری و ذخيره سازی
5221,فعاليت های خدمات پشتيبانی حمل ونقل زمينی
5222,فعاليت های خدمات پشتيبانی حمل ونقل آبی
5223,فعاليت های خدمات پشتيبانی حمل ونقل هوايی
5224,جابجايي محموله
5229,ساير فعاليت های پشتيبانی حمل ونقل
5310,فعاليت های پست
5320,فعاليت های پيک
5510,فعاليت‌هاي تامين جا براي اقامت كوتاه مدت
5520,اردوگاه‌هاي توريستي، پارك‌هاي وسايل نقليه‌ي تفريحي و پارك هاي تريلرها
5590,ساير فعاليت‌هاي مربوط به تأمين جا
5610,رستوران‌ها و فعاليت‌هاي خدماتی مربوط به تأمين غذاي سيار
5621,تهيه غذای مراسم
5629,ساير فعاليت‌هاي خدماتی غذايي
5630,فعاليت‌هاي خدماتی مربوط به ارائه‌آشامیدنی ها
5811,انتشار كتاب
5812,انتشار راهنماي تلفن و فهرست‌هاي پستي
5813,انتشار روزنامه و مجله و نشريات ادواری
5819,ساير فعاليت‌هاي انتشاراتي
5820,انتشار نرم‌افزار
5911,فعاليت‌هاي توليد فيلم سينمايي، ويديويي و برنامه هاي تلويزيوني
5912,فعاليت‌هاي پس از توليد فيلم سينمايي، ويديويي و برنامه هاي تلويزيوني
